date_policy,country,med_est,high_est,low_est,sd_est
2020-01-01,Kiribati,-0.186379,-0.18416155,-0.187102,9.346777270682362e-4
2020-01-01,Kosovo,-0.1871965,-0.185138,-0.187943,9.252001046139671e-4
2020-01-01,Kuwait,-0.185519,-0.184566,-0.18643715,6.507400524900762e-4
2020-01-01,Kyrgyzstan,-0.185988,-0.1851389,-0.18663765,5.624718816475272e-4
2020-01-01,Laos,-0.1848745,-0.183666,-0.1860101,7.750689690024546e-4
2020-01-01,Latvia,-0.185907,-0.18453650000000002,-0.18731475,7.670314128971036e-4
2020-01-01,Lebanon,-0.18653350000000002,-0.18466475000000002,-0.18757205,8.498877308135872e-4
2020-01-01,Lesotho,-0.185677,-0.18476445000000002,-0.18670710000000001,5.782075385515514e-4
2020-01-01,Liberia,-0.18591,-0.1845627,-0.1864001,7.139344976553212e-4
2020-01-01,Libya,-0.1860505,-0.18530765,-0.18709520000000002,5.85916749493554e-4
2020-01-01,Lithuania,-0.1874,-0.18563600000000002,-0.187794,7.466998717623937e-4
2020-01-01,Madagascar,-0.186199,-0.18503095,-0.18725055,7.125283443819062e-4
2020-01-01,Malawi,-0.18497049999999998,-0.18456725000000002,-0.18647135,5.88469627891812e-4
2020-01-01,Malaysia,-0.1854065,-0.18413559999999998,-0.186328,6.264438729116293e-4
2020-01-01,Mali,-0.185602,-0.185028,-0.18662635000000002,5.112151513084465e-4
2020-01-01,Mauritania,-0.18337150000000002,-0.1828709,-0.184931,8.018560876886882e-4
2020-01-01,Mauritius,-0.185562,-0.18498,-0.18642235000000001,4.441865607440341e-4
2020-01-01,Mexico,-0.184815,-0.18397275000000002,-0.1859128,7.223595168770237e-4
2020-01-01,Moldova,-0.18697249999999999,-0.18531335,-0.187271,7.263907027739557e-4
2020-01-01,Monaco,-0.184102,-0.18282985,-0.1870612,0.001294114159587596
2020-01-01,Mongolia,-0.187248,-0.18473575,-0.18821805,0.001159939460002515
2020-01-01,Morocco,-0.186924,-0.18517385,-0.18832245,9.113876975459429e-4
2020-01-01,Mozambique,-0.185476,-0.18472044999999998,-0.18655375,6.0143661020113e-4
2020-01-01,Myanmar,-0.185846,-0.18494470000000002,-0.18841614999999998,0.0010070181784876124
2020-01-01,Namibia,-0.18496249999999997,-0.184542,-0.187556,0.0010098880788505786
2020-01-01,Nepal,-0.1871525,-0.1855202,-0.188004,8.789649945413489e-4
2020-01-01,Netherlands,-0.18561,-0.184598,-0.18635585000000002,5.509904069686045e-4
2020-01-01,New Zealand,-0.185209,-0.184485,-0.1866184,7.413971266118929e-4
2020-01-01,Nicaragua,-0.185609,-0.185095,-0.18702935,6.48710964747173e-4
2020-01-01,Niger,-0.185985,-0.18300155,-0.18656015,0.001057538104031574
2020-01-01,Nigeria,-0.1852165,-0.184454,-0.18665579999999998,7.227854266836844e-4
2020-01-01,Norway,-0.185367,-0.184826,-0.18620470000000003,5.032758696741197e-4
2020-01-01,Oman,-0.184404,-0.1836108,-0.18645075,0.001010669501219607
2020-01-01,Pakistan,-0.18608,-0.18478695,-0.18673305,5.36374810130337e-4
2020-01-01,Palestine,-0.186008,-0.18534475,-0.187168,5.601282676007471e-4
2020-01-01,Panama,-0.184783,-0.18436455,-0.1861538,5.976667170802747e-4
2020-01-01,Papua New Guinea,-0.186671,-0.18417195,-0.18764,8.808188972907891e-4
2020-01-01,Paraguay,-0.18599749999999998,-0.18536365,-0.186746,5.456781446685611e-4
2020-01-01,Peru,-0.184626,-0.18424464999999998,-0.1879361,0.0010743867827235117
2020-01-01,Philippines,-0.1847785,-0.1837779,-0.18740859999999998,0.0010332800037303638
2020-01-01,Poland,-0.186816,-0.185853,-0.18718104999999996,4.986204965629999e-4
2020-01-01,Portugal,-0.185369,-0.18348,-0.18596030000000002,6.485617195022843e-4
2020-01-01,Qatar,-0.18542350000000002,-0.1848889,-0.186214,5.437768993202412e-4
2020-01-01,Republic of the Congo,-0.1848005,-0.184347,-0.18577079999999999,6.039653270548406e-4
2020-01-01,Romania,-0.186499,-0.18539994999999998,-0.18727205,7.056863570525328e-4
