"","data.percent_covid","data.percent_covid_unw","data.iso_code","data.gid_0","data.percent_contact","data.percent_contact_unw","data.percent_mask","data.percent_mask_unw","data.pct_anxious_7d","data.pct_anxious_7d_unw","data.percent_finance","data.percent_finance_unw","country","date"
"11473",0.000947,0.001234,"ITA","ITA",0.449009,0.500836,0.945325,0.94825,0.052737,0.060165,0.408253,0.425898,"Italy",2020-06-01
"11474",0.00224,0.001922,"ITA","ITA",0.469395,0.503208,0.944781,0.949752,0.044286,0.05311,0.412184,0.422863,"Italy",2020-06-02
"11475",0.000925,0.001653,"ITA","ITA",0.439993,0.488531,0.945276,0.947695,0.046587,0.056535,0.398686,0.424035,"Italy",2020-06-03
"11476",0.002823,0.00296,"ITA","ITA",0.454156,0.489348,0.939844,0.946201,0.056769,0.063495,0.427636,0.437878,"Italy",2020-06-04
"11477",0.002241,0.001976,"ITA","ITA",0.44434,0.4884,0.942808,0.945662,0.049974,0.058528,0.396306,0.429947,"Italy",2020-06-05
"11478",0.002546,0.001682,"ITA","ITA",0.486942,0.517981,0.948848,0.950179,0.046046,0.056004,0.368852,0.400984,"Italy",2020-06-06
"11479",0.001916,0.001879,"ITA","ITA",0.503446,0.552893,0.936909,0.943339,0.051059,0.055812,0.384112,0.40889,"Italy",2020-06-07
"11480",0.002246,0.002086,"ITA","ITA",0.501895,0.547235,0.936746,0.938912,0.044893,0.057801,0.407133,0.417183,"Italy",2020-06-08
"11481",0.001023,0.001243,"ITA","ITA",0.464667,0.501119,0.940319,0.939148,0.050356,0.056316,0.41227,0.425972,"Italy",2020-06-09
"11482",0.001316,0.001256,"ITA","ITA",0.473353,0.510464,0.941743,0.941437,0.044473,0.057075,0.395531,0.422835,"Italy",2020-06-10
"11483",0.002057,0.002349,"ITA","ITA",0.473584,0.514955,0.939175,0.940744,0.056156,0.05887,0.400831,0.412924,"Italy",2020-06-11
"11484",0.001684,0.001317,"ITA","ITA",0.487615,0.516385,0.933783,0.939382,0.046656,0.055146,0.381688,0.41631,"Italy",2020-06-12
"11485",0.000925,0.001599,"ITA","ITA",0.512628,0.550986,0.934412,0.931421,0.047369,0.052488,0.372512,0.405134,"Italy",2020-06-13
"11486",0.001955,0.00178,"ITA","ITA",0.525029,0.572646,0.929441,0.928243,0.048735,0.054261,0.367303,0.392363,"Italy",2020-06-14
"11487",0.001287,0.001111,"ITA","ITA",0.538195,0.577865,0.935474,0.930297,0.051566,0.060778,0.376816,0.404714,"Italy",2020-06-15
"11488",0.001495,0.001178,"ITA","ITA",0.507918,0.541127,0.937073,0.930696,0.039614,0.047436,0.393411,0.39811,"Italy",2020-06-16
"11489",0.000802,0.000545,"ITA","ITA",0.491772,0.53299,0.939568,0.936302,0.043827,0.050188,0.382455,0.404268,"Italy",2020-06-17
"11490",0.001556,0.001543,"ITA","ITA",0.492063,0.532179,0.933477,0.932029,0.052671,0.057263,0.392726,0.417172,"Italy",2020-06-18
"11491",0.001552,0.001892,"ITA","ITA",0.507435,0.553788,0.926595,0.926761,0.046769,0.056867,0.402995,0.425015,"Italy",2020-06-19
"11492",0.000306,0.000575,"ITA","ITA",0.514481,0.562322,0.936076,0.928469,0.048963,0.058885,0.383584,0.39904,"Italy",2020-06-20
"11493",0.000531,0.001094,"ITA","ITA",0.553195,0.603389,0.930446,0.922387,0.044334,0.046298,0.375774,0.389925,"Italy",2020-06-21
"11494",0.000866,0.000784,"ITA","ITA",0.561792,0.59545,0.919349,0.913518,0.0557,0.060606,0.397658,0.420671,"Italy",2020-06-22
"11495",0.000684,0.000781,"ITA","ITA",0.531689,0.55535,0.933235,0.923221,0.046908,0.056194,0.395302,0.415505,"Italy",2020-06-23
"11496",0.001742,0.001493,"ITA","ITA",0.517675,0.549715,0.920761,0.916135,0.045302,0.054479,0.383653,0.400284,"Italy",2020-06-24
"11497",0.001796,0.001377,"ITA","ITA",0.517151,0.546475,0.915629,0.912713,0.038625,0.045778,0.385046,0.401286,"Italy",2020-06-25
"11498",0.000913,0.001174,"ITA","ITA",0.521175,0.565727,0.916178,0.913379,0.040947,0.052632,0.38092,0.399107,"Italy",2020-06-26
"11499",0.001486,0.001145,"ITA","ITA",0.537589,0.572892,0.900591,0.892355,0.043708,0.051069,0.366203,0.394179,"Italy",2020-06-27
"11500",0.001265,0.000764,"ITA","ITA",0.547174,0.596328,0.894368,0.887908,0.043498,0.048775,0.369057,0.377954,"Italy",2020-06-28
"11501",0.00063,0.000921,"ITA","ITA",0.558242,0.603788,0.888592,0.882574,0.041502,0.046714,0.379873,0.402508,"Italy",2020-06-29
"11502",0.00334,0.001465,"ITA","ITA",0.564446,0.596054,0.887194,0.885453,0.043089,0.054201,0.388599,0.395755,"Italy",2020-06-30
"11503",0.001106,0.0013,"ITA","ITA",0.509346,0.564228,0.89362,0.88733,0.040193,0.050703,0.371732,0.391713,"Italy",2020-07-01
"11504",0.001936,0.00164,"ITA","ITA",0.534473,0.571802,0.89589,0.89,0.039042,0.046733,0.354344,0.374488,"Italy",2020-07-02
"11505",0.000723,0.001112,"ITA","ITA",0.550983,0.581597,0.883675,0.880076,0.048345,0.053065,0.365683,0.384653,"Italy",2020-07-03
"11506",0.000686,0.00062,"ITA","ITA",0.54073,0.575877,0.891636,0.895206,0.036612,0.043617,0.369851,0.387685,"Italy",2020-07-04
"11507",0.001061,0.001175,"ITA","ITA",0.559869,0.606914,0.891022,0.882489,0.035991,0.042823,0.35258,0.374382,"Italy",2020-07-05
